PartNumber	NominalSize	OutsideHeight (in)	OutsideWidth (in)	InsideHeight (in)	InsideWidth (in)	RailFlangeThickness (in)	RailFlangeWidth (in)	RailWallThickness (in)	RungHeight (in)	RungLength (in)	FloorSectionSpacing (in)	Angle (deg)	BendRadius (in)	TangentLength (in)	Series	PartName
B36AL-12-45VI12	B36-12in	6.17	13.45	5.06	12	0.11	2	0.075	1	1	9	45	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 12in rad
B36AL-18-45VI12	B36-18in	6.17	19.45	5.06	18	0.11	2	0.075	1	1	9	45	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 12in rad
B36AL-24-45VI12	B36-24in	6.17	25.45	5.06	24	0.11	2	0.075	1	1	9	45	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 12in rad
B36AL-30-45VI12	B36-30in	6.17	31.45	5.06	30	0.11	2	0.075	1	1	9	45	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 12in rad
B36AL-36-45VI12	B36036in	6.17	37.45	5.06	36	0.11	2	0.075	1	1	9	45	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 12in rad
B36AL-42-45VI12	B36-42in	6.17	43.45	5.06	42	0.11	2	0.075	1	1	9	45	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 12in rad
B36AL-06-45VI24	B36-06in	6.17	7.45	5.06	6	0.11	2	0.075	1	1	9	45	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 24in rad
B36AL-09-45VI24	B36-09in	6.17	10.45	5.06	9	0.11	2	0.075	1	1	9	45	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 24in rad
B36AL-12-45VI24	B36-12in	6.17	13.45	5.06	12	0.11	2	0.075	1	1	9	45	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 24in rad
B36AL-18-45VI24	B36-18in	6.17	19.45	5.06	18	0.11	2	0.075	1	1	9	45	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 24in rad
B36AL-24-45VI24	B36-24in	6.17	25.45	5.06	24	0.11	2	0.075	1	1	9	45	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 24in rad
B36AL-30-45VI24	B36-30in	6.17	31.45	5.06	30	0.11	2	0.075	1	1	9	45	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 24in rad
B36AL-36-45VI24	B36036in	6.17	37.45	5.06	36	0.11	2	0.075	1	1	9	45	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 24in rad
B36AL-42-45VI24	B36-42in	6.17	43.45	5.06	42	0.11	2	0.075	1	1	9	45	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 45 deg 24in rad
B36AL-06-60VI12	B36-06in	6.17	7.45	5.06	6	0.11	2	0.075	1	1	9	60	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 12in rad
B36AL-09-60VI12	B36-09in	6.17	10.45	5.06	9	0.11	2	0.075	1	1	9	60	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 12in rad
B36AL-12-60VI12	B36-12in	6.17	13.45	5.06	12	0.11	2	0.075	1	1	9	60	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 12in rad
B36AL-18-60VI12	B36-18in	6.17	19.45	5.06	18	0.11	2	0.075	1	1	9	60	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 12in rad
B36AL-24-60VI12	B36-24in	6.17	25.45	5.06	24	0.11	2	0.075	1	1	9	60	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 12in rad
B36AL-30-60VI12	B36-30in	6.17	31.45	5.06	30	0.11	2	0.075	1	1	9	60	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 12in rad
B36AL-36-60VI12	B36036in	6.17	37.45	5.06	36	0.11	2	0.075	1	1	9	60	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 12in rad
B36AL-42-60VI12	B36-42in	6.17	43.45	5.06	42	0.11	2	0.075	1	1	9	60	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 12in rad
B36AL-06-60VI24	B36-06in	6.17	7.45	5.06	6	0.11	2	0.075	1	1	9	60	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 24in rad
B36AL-09-60VI24	B36-09in	6.17	10.45	5.06	9	0.11	2	0.075	1	1	9	60	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 24in rad
B36AL-12-60VI24	B36-12in	6.17	13.45	5.06	12	0.11	2	0.075	1	1	9	60	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 24in rad
B36AL-18-60VI24	B36-18in	6.17	19.45	5.06	18	0.11	2	0.075	1	1	9	60	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 24in rad
B36AL-24-60VI24	B36-24in	6.17	25.45	5.06	24	0.11	2	0.075	1	1	9	60	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 24in rad
B36AL-30-60VI24	B36-30in	6.17	31.45	5.06	30	0.11	2	0.075	1	1	9	60	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 24in rad
B36AL-36-60VI24	B36036in	6.17	37.45	5.06	36	0.11	2	0.075	1	1	9	60	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 24in rad
B36AL-42-60VI24	B36-42in	6.17	43.45	5.06	42	0.11	2	0.075	1	1	9	60	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 60 deg 24in rad
B36AL-06-90VI12	B36-06in	6.17	7.45	5.06	6	0.11	2	0.075	1	1	9	90	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 12in rad
B36AL-09-90VI12	B36-09in	6.17	10.45	5.06	9	0.11	2	0.075	1	1	9	90	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 12in rad
B36AL-12-90VI12	B36-12in	6.17	13.45	5.06	12	0.11	2	0.075	1	1	9	90	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 12in rad
B36AL-18-90VI12	B36-18in	6.17	19.45	5.06	18	0.11	2	0.075	1	1	9	90	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 12in rad
B36AL-24-90VI12	B36-24in	6.17	25.45	5.06	24	0.11	2	0.075	1	1	9	90	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 12in rad
B36AL-30-90VI12	B36-30in	6.17	31.45	5.06	30	0.11	2	0.075	1	1	9	90	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 12in rad
B36AL-36-90VI12	B36036in	6.17	37.45	5.06	36	0.11	2	0.075	1	1	9	90	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 12in rad
B36AL-42-90VI12	B36-42in	6.17	43.45	5.06	42	0.11	2	0.075	1	1	9	90	12	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 12in rad
B36AL-06-90VI24	B36-06in	6.17	7.45	5.06	6	0.11	2	0.075	1	1	9	90	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 24in rad
B36AL-09-90VI24	B36-09in	6.17	10.45	5.06	9	0.11	2	0.075	1	1	9	90	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 24in rad
B36AL-12-90VI24	B36-12in	6.17	13.45	5.06	12	0.11	2	0.075	1	1	9	90	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 24in rad
B36AL-18-90VI24	B36-18in	6.17	19.45	5.06	18	0.11	2	0.075	1	1	9	90	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 24in rad
B36AL-24-90VI24	B36-24in	6.17	25.45	5.06	24	0.11	2	0.075	1	1	9	90	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 24in rad
B36AL-30-90VI24	B36-30in	6.17	31.45	5.06	30	0.11	2	0.075	1	1	9	90	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 24in rad
B36AL-36-90VI24	B36036in	6.17	37.45	5.06	36	0.11	2	0.075	1	1	9	90	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 24in rad
B36AL-42-90VI24	B36-42in	6.17	43.45	5.06	42	0.11	2	0.075	1	1	9	90	24	3	B Series 36  Aluminum 6in rails	Vertical Inside Bend 90 deg 24in rad
B37AL-06-30VI12	B37-06in	7.14	7.5	6.05	6	0.09	2	0.075	1	1	9	30	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 12in rad
B37AL-09-30VI12	B37-09in	7.14	10.5	6.05	9	0.09	2	0.075	1	1	9	30	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 12in rad
B37AL-12-30VI12	B37-12in	7.14	13.5	6.05	12	0.09	2	0.075	1	1	9	30	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 12in rad
B37AL-18-30VI12	B37-18in	7.14	19.5	6.05	18	0.09	2	0.075	1	1	9	30	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 12in rad
B37AL-24-30VI12	B37-24in	7.14	25.5	6.05	24	0.09	2	0.075	1	1	9	30	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 12in rad
B37AL-30-30VI12	B37-30in	7.14	31.5	6.05	30	0.09	2	0.075	1	1	9	30	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 12in rad
B37AL-36-30VI12	B37037in	7.14	37.5	6.05	36	0.09	2	0.075	1	1	9	30	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 12in rad
B37AL-42-30VI12	B37-42in	7.14	43.5	6.05	42	0.09	2	0.075	1	1	9	30	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 12in rad
B37AL-06-30VI24	B37-06in	7.14	7.5	6.05	6	0.09	2	0.075	1	1	9	30	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 24in rad
B37AL-09-30VI24	B37-09in	7.14	10.5	6.05	9	0.09	2	0.075	1	1	9	30	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 24in rad
B37AL-12-30VI24	B37-12in	7.14	13.5	6.05	12	0.09	2	0.075	1	1	9	30	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 24in rad
B37AL-18-30VI24	B37-18in	7.14	19.5	6.05	18	0.09	2	0.075	1	1	9	30	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 24in rad
B37AL-24-30VI24	B37-24in	7.14	25.5	6.05	24	0.09	2	0.075	1	1	9	30	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 24in rad
B37AL-30-30VI24	B37-30in	7.14	31.5	6.05	30	0.09	2	0.075	1	1	9	30	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 24in rad
B37AL-36-30VI24	B37037in	7.14	37.5	6.05	36	0.09	2	0.075	1	1	9	30	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 24in rad
B37AL-42-30VI24	B37-42in	7.14	43.5	6.05	42	0.09	2	0.075	1	1	9	30	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 30 deg 24in rad
B37AL-06-45VI12	B37-06in	7.14	7.5	6.05	6	0.09	2	0.075	1	1	9	45	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 12in rad
B37AL-09-45VI12	B37-09in	7.14	10.5	6.05	9	0.09	2	0.075	1	1	9	45	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 12in rad
B37AL-12-45VI12	B37-12in	7.14	13.5	6.05	12	0.09	2	0.075	1	1	9	45	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 12in rad
B37AL-18-45VI12	B37-18in	7.14	19.5	6.05	18	0.09	2	0.075	1	1	9	45	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 12in rad
B37AL-24-45VI12	B37-24in	7.14	25.5	6.05	24	0.09	2	0.075	1	1	9	45	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 12in rad
B37AL-30-45VI12	B37-30in	7.14	31.5	6.05	30	0.09	2	0.075	1	1	9	45	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 12in rad
B37AL-36-45VI12	B37037in	7.14	37.5	6.05	36	0.09	2	0.075	1	1	9	45	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 12in rad
B37AL-42-45VI12	B37-42in	7.14	43.5	6.05	42	0.09	2	0.075	1	1	9	45	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 12in rad
B37AL-06-45VI24	B37-06in	7.14	7.5	6.05	6	0.09	2	0.075	1	1	9	45	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 24in rad
B37AL-09-45VI24	B37-09in	7.14	10.5	6.05	9	0.09	2	0.075	1	1	9	45	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 24in rad
B37AL-12-45VI24	B37-12in	7.14	13.5	6.05	12	0.09	2	0.075	1	1	9	45	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 24in rad
B37AL-18-45VI24	B37-18in	7.14	19.5	6.05	18	0.09	2	0.075	1	1	9	45	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 24in rad
B37AL-24-45VI24	B37-24in	7.14	25.5	6.05	24	0.09	2	0.075	1	1	9	45	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 24in rad
B37AL-30-45VI24	B37-30in	7.14	31.5	6.05	30	0.09	2	0.075	1	1	9	45	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 24in rad
B37AL-36-45VI24	B37037in	7.14	37.5	6.05	36	0.09	2	0.075	1	1	9	45	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 24in rad
B37AL-42-45VI24	B37-42in	7.14	43.5	6.05	42	0.09	2	0.075	1	1	9	45	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 45 deg 24in rad
B37AL-06-60VI12	B37-06in	7.14	7.5	6.05	6	0.09	2	0.075	1	1	9	60	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 12in rad
B37AL-09-60VI12	B37-09in	7.14	10.5	6.05	9	0.09	2	0.075	1	1	9	60	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 12in rad
B37AL-12-60VI12	B37-12in	7.14	13.5	6.05	12	0.09	2	0.075	1	1	9	60	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 12in rad
B37AL-18-60VI12	B37-18in	7.14	19.5	6.05	18	0.09	2	0.075	1	1	9	60	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 12in rad
B37AL-24-60VI12	B37-24in	7.14	25.5	6.05	24	0.09	2	0.075	1	1	9	60	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 12in rad
B37AL-30-60VI12	B37-30in	7.14	31.5	6.05	30	0.09	2	0.075	1	1	9	60	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 12in rad
B37AL-36-60VI12	B37037in	7.14	37.5	6.05	36	0.09	2	0.075	1	1	9	60	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 12in rad
B37AL-42-60VI12	B37-42in	7.14	43.5	6.05	42	0.09	2	0.075	1	1	9	60	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 12in rad
B37AL-06-60VI24	B37-06in	7.14	7.5	6.05	6	0.09	2	0.075	1	1	9	60	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 24in rad
B37AL-09-60VI24	B37-09in	7.14	10.5	6.05	9	0.09	2	0.075	1	1	9	60	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 24in rad
B37AL-12-60VI24	B37-12in	7.14	13.5	6.05	12	0.09	2	0.075	1	1	9	60	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 24in rad
B37AL-18-60VI24	B37-18in	7.14	19.5	6.05	18	0.09	2	0.075	1	1	9	60	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 24in rad
B37AL-24-60VI24	B37-24in	7.14	25.5	6.05	24	0.09	2	0.075	1	1	9	60	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 24in rad
B37AL-30-60VI24	B37-30in	7.14	31.5	6.05	30	0.09	2	0.075	1	1	9	60	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 24in rad
B37AL-36-60VI24	B37037in	7.14	37.5	6.05	36	0.09	2	0.075	1	1	9	60	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 24in rad
B37AL-42-60VI24	B37-42in	7.14	43.5	6.05	42	0.09	2	0.075	1	1	9	60	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 60 deg 24in rad
B37AL-06-90VI12	B37-06in	7.14	7.5	6.05	6	0.09	2	0.075	1	1	9	90	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 12in rad
B37AL-09-90VI12	B37-09in	7.14	10.5	6.05	9	0.09	2	0.075	1	1	9	90	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 12in rad
B37AL-12-90VI12	B37-12in	7.14	13.5	6.05	12	0.09	2	0.075	1	1	9	90	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 12in rad
B37AL-18-90VI12	B37-18in	7.14	19.5	6.05	18	0.09	2	0.075	1	1	9	90	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 12in rad
B37AL-24-90VI12	B37-24in	7.14	25.5	6.05	24	0.09	2	0.075	1	1	9	90	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 12in rad
B37AL-30-90VI12	B37-30in	7.14	31.5	6.05	30	0.09	2	0.075	1	1	9	90	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 12in rad
B37AL-36-90VI12	B37037in	7.14	37.5	6.05	36	0.09	2	0.075	1	1	9	90	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 12in rad
B37AL-42-90VI12	B37-42in	7.14	43.5	6.05	42	0.09	2	0.075	1	1	9	90	12	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 12in rad
B37AL-06-90VI24	B37-06in	7.14	7.5	6.05	6	0.09	2	0.075	1	1	9	90	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 24in rad
B37AL-09-90VI24	B37-09in	7.14	10.5	6.05	9	0.09	2	0.075	1	1	9	90	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 24in rad
B37AL-12-90VI24	B37-12in	7.14	13.5	6.05	12	0.09	2	0.075	1	1	9	90	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 24in rad
B37AL-18-90VI24	B37-18in	7.14	19.5	6.05	18	0.09	2	0.075	1	1	9	90	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 24in rad
B37AL-24-90VI24	B37-24in	7.14	25.5	6.05	24	0.09	2	0.075	1	1	9	90	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 24in rad
B37AL-30-90VI24	B37-30in	7.14	31.5	6.05	30	0.09	2	0.075	1	1	9	90	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 24in rad
B37AL-36-90VI24	B37037in	7.14	37.5	6.05	36	0.09	2	0.075	1	1	9	90	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 24in rad
B37AL-42-90VI24	B37-42in	7.14	43.5	6.05	42	0.09	2	0.075	1	1	9	90	24	3	B Series 37  Aluminum 7in rails	Vertical Inside Bend 90 deg 24in rad
