V4 Class,V4 Parent Class,V4 Attribute,V5 Class,V5 Parent Class ,V5 Attribute,Domain
Duct Rectangular Branches,Duct Rectangular Parts,Length_Lap,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Length3,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Length4,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Lip_Flange,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Lip_Lap,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Ratio_BendRad2,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Ratio_ThroatRad2,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Throat_Radius2,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Width2,No Mapping,,,
Duct Rectangular Branches,Duct Rectangular Parts,Width3,No Mapping,,,
Duct Rectangular Collar,Duct Rectangular Fittings,*,HVACRectCollar,HVACRectFitting,*,HVA
Duct Rectangular Coupling,Duct Rectangular Fittings,*,HVACRectCoupling,HVACRectFitting,*,HVA
Duct Rectangular Damper,Duct Rectangular Fittings,*,HVACRectDamper,HVACRectValve,*,HVA
Duct Rectangular Elbow,Duct Rectangular Elbows,*,HVACRectNReducElbow,HVACRectElbow,*,HVA
Duct Rectangular Elbow,Duct Rectangular Elbows,Bend_Radius ,No Mapping,,,
Duct Rectangular Elbow,Duct Rectangular Elbows,Ratio_BendRad,No Mapping,,,
Duct Rectangular Elbows,Duct Rectangular Parts,*,HVACRectElbow,HVACRectPart,*,HVA
Duct Rectangular Elbows,Duct Rectangular Parts,Angle,HVACRectElbow,HVACRectPart,Angle,HVA
Duct Rectangular Elbows,Duct Rectangular Parts,Ratio_ThroatRad,No Mapping,,,
Duct Rectangular Elbows,Duct Rectangular Parts,Throat_Radius,No Mapping,,,
Duct Rectangular End Plate,Duct Rectangular Fittings,*,HVACRectEndPlate,HVACRectFitting,*,HVA
Duct Rectangular End Plate,Duct Rectangular Fittings,Thickness_Duct,No Mapping,,,
Duct Rectangular Fitting,Duct Rectangular Fittings,*,No Mapping,,*,
Duct Rectangular Fittings,Duct Rectangular Parts,*,HVACRectFitting,HVACRectPart,*,HVA
Duct Rectangular Fittings,Duct Rectangular Parts,Angle,No Mapping,,,
Duct Rectangular Fittings,Duct Rectangular Parts,Diameter,No Mapping,,,
Duct Rectangular Fittings,Duct Rectangular Parts,Diameter_Bead,No Mapping,,,
Duct Rectangular Fittings,Duct Rectangular Parts,Diameter2,No Mapping,,,
Duct Rectangular Fittings,Duct Rectangular Parts,Height2,HVACRectFitting,HVACRectPart,Height2,HVA
Duct Rectangular Fittings,Duct Rectangular Parts,Length_Bead,No Mapping,,,
Duct Rectangular Fittings,Duct Rectangular Parts,Length_Flange,No Mapping,,,
Duct Rectangular Fittings,Duct Rectangular Parts,Length_Lap,No Mapping,,,
Duct Rectangular Fittings,Duct Rectangular Parts,Lip,No Mapping,,,
Duct Rectangular Fittings,Duct Rectangular Parts,Lip_Flange,No Mapping,,,
Duct Rectangular Fittings,Duct Rectangular Parts,Lip_Lap,No Mapping,,,
Duct Rectangular Fittings,Duct Rectangular Parts,Lip2,No Mapping,,,
Duct Rectangular Fittings,Duct Rectangular Parts,Thickness_Matl,No Mapping,,,
Duct Rectangular Fittings,Duct Rectangular Parts,Width2,HVACRectFitting,HVACRectPart,Width2,HVA
Duct Rectangular Flanges,Duct Rectangular Parts,*,HVACRectFlange,HVACRectPart,*,HVA
Duct Rectangular Flanges,Duct Rectangular Parts,Gap,No Mapping,,,
Duct Rectangular Flanges,Duct Rectangular Parts,Lip,No Mapping,,,
Duct Rectangular Flanges,Duct Rectangular Parts,Thickness_Duct,No Mapping,,,
Duct Rectangular Flanges,Duct Rectangular Parts,Thickness_Matl,No Mapping,,,
Duct Rectangular Flexible Connection,Duct Rectangular Fittings,*,HVACRectExpJoint,HVACRectFitting,*,HVA
Duct Rectangular Fork,Duct Rectangular Branches,*,HVACRectFork,HVACRectBranch,*,HVA
Duct Rectangular Fork,Duct Rectangular Branches,Gap,No Mapping,,,
Duct Rectangular Fork,Duct Rectangular Branches,Offset_Center,No Mapping,,,
Duct Rectangular Fork,Duct Rectangular Branches,Offset_Center2,No Mapping,,,
Duct Rectangular Fork,Duct Rectangular Branches,Offset_Edge,No Mapping,,,
Duct Rectangular Fork,Duct Rectangular Branches,Offset_Edge2,No Mapping,,,
Duct Rectangular Gasket,Duct Rectangular Gaskets,*,HVACRectGasket,HVACRectPart,*,HVA
Duct Rectangular Gaskets,Duct Rectangular Parts,*,No Mapping,,*,
Duct Rectangular Knee,Duct Rectangular Elbows,*,HVACRectKnee,HVACRectElbow,*,HVA
Duct Rectangular Knee,Duct Rectangular Elbows,Heel_Radius ,No Mapping,,,
Duct Rectangular Lateral Offset Tee,Duct Rectangular Branches,*,HVACRectLtrlOffsetTee,HVACRectBranch,*,HVA
Duct Rectangular Lateral Offset Tee,Duct Rectangular Branches,Offset_Center,No Mapping,,,
Duct Rectangular Lateral Offset Tee,Duct Rectangular Branches,Offset_Center2,No Mapping,,,
Duct Rectangular Lateral Offset Tee,Duct Rectangular Branches,Offset_Edge,No Mapping,,,
Duct Rectangular Lateral Offset Tee,Duct Rectangular Branches,Offset_Edge2,No Mapping,,,
Duct Rectangular Mitered Elbow,Duct Rectangular Elbows,*,HVACRectMiteredElbow,HVACRectElbow,*,HVA
Duct Rectangular Mitered Elbow,Duct Rectangular Elbows,Bend_Radius,No Mapping,,,HVA
Duct Rectangular Mitered Elbow,Duct Rectangular Elbows,Num_Miter_Cuts,No Mapping,,,HVA
Duct Rectangular Mitered Elbow,Duct Rectangular Elbows,Ratio_BendRad,No Mapping,,,HVA
Duct Rectangular Offset,Duct Rectangular Offsets,*,HVACRectToRectOffset,HVACRectOffset,*,HVA
Duct Rectangular Offset Tee,Duct Rectangular Branches,*,HVACRectOffsetTee,HVACRectBranch,*,HVA
Duct Rectangular Offset Tee,Duct Rectangular Branches,Offset_Center,No Mapping,,,
Duct Rectangular Offset Tee,Duct Rectangular Branches,Offset_Center2,No Mapping,,,
Duct Rectangular Offset Tee,Duct Rectangular Branches,Offset_Edge,No Mapping,,,
Duct Rectangular Offset Tee,Duct Rectangular Branches,Offset_Edge2,No Mapping,,,
Duct Rectangular Offset Tee,Duct Rectangular Branches,Ratio_ThroatRad,No Mapping,,,
Duct Rectangular Offset Tee,Duct Rectangular Branches,Throat_Radius,No Mapping,,,
Duct Rectangular Offsets,Duct Rectangular Parts,*,HVACRectOffset,HVACRectPart,*,HVA
Duct Rectangular Offsets,Duct Rectangular Parts,Angle,HVACRectOffset,HVACRectPart,Angle,HVA
Duct Rectangular Offsets,Duct Rectangular Parts,Angle2,No Mapping,,,
Duct Rectangular Offsets,Duct Rectangular Parts,Bend_Radius2,No Mapping,,,
Duct Rectangular Offsets,Duct Rectangular Parts,Heel_Radius2,No Mapping,,,
Duct Rectangular Offsets,Duct Rectangular Parts,Offset_Center,No Mapping,,,
Duct Rectangular Offsets,Duct Rectangular Parts,Offset_Center2,No Mapping,,,
Duct Rectangular Offsets,Duct Rectangular Parts,Offset_Edge,No Mapping,,,
Duct Rectangular Offsets,Duct Rectangular Parts,Offset_Edge2,No Mapping,,,
Duct Rectangular Offsets,Duct Rectangular Parts,Ratio_BendRad2,No Mapping,,,
Duct Rectangular Offsets,Duct Rectangular Parts,Ratio_ThroatRad,No Mapping,,,
Duct Rectangular Offsets,Duct Rectangular Parts,Ratio_ThroatRad2,No Mapping,,,
Duct Rectangular Offsets,Duct Rectangular Parts,Throat_Radius,No Mapping,,,
Duct Rectangular Offsets,Duct Rectangular Parts,Throat_Radius2,No Mapping,,,
Duct Rectangular Ogee,Duct Rectangular Offsets,*,HVACRectOgee,HVACRectOffset,*,HVA
Duct Rectangular Orifice Plate,Duct Rectangular Fittings,*,HVACRectOrificePlate,HVACRectInLineInstr,*,HVA
Duct Rectangular Orifice Plate,Duct Rectangular Fittings,Thickness_Duct,No Mapping,,,
Duct Rectangular Outlet,Duct Rectangular Fittings,*,HVACRectOutlet,HVACRectFitting,*,HVA
Duct Rectangular Parts,Duct Parts,*,HVACRectPart,HVACPart,*,HVA
Duct Rectangular Parts,Duct Parts,Height##1,HVACRectPart,HVACPart,Height,HVA
Duct Rectangular Parts,Duct Parts,Height##2,No Mapping,,,
Duct Rectangular Parts,Duct Parts,Height##3,No Mapping,,,
Duct Rectangular Parts,Duct Parts,Height##4,No Mapping,,,
Duct Rectangular Parts,Duct Parts,Width##1,HVACRectPart,HVACPart,Width,HVA
Duct Rectangular Parts,Duct Parts,Width##2,No Mapping,,,
Duct Rectangular Parts,Duct Parts,Width##3,No Mapping,,,
Duct Rectangular Parts,Duct Parts,Width##4,No Mapping,,,
Duct Rectangular Plate I-Flange,Duct Rectangular Flanges,*,HVACRectIFlange,HVACRectFlange,*,HVA
Duct Rectangular Tap on Rectangular,Duct Rectangular Branches,*,HVACRectTapRect,HVACRectBranch,*,HVA
Duct Rectangular Tee,Duct Rectangular Branches,*,HVACRectTee,HVACRectBranch, ,HVA
Duct Rectangular Tee,Duct Rectangular Branches,Ratio_ThroatRad,No Mapping,,,
Duct Rectangular Tee,Duct Rectangular Branches,Throat_Radius,No Mapping,,,
Duct Rectangular Transition,Duct Rectangular Transitions,*,HVACRectToRect,HVACRectTransition,*,HVA
Duct Rectangular Transitions,Duct Rectangular Parts,*,HVACRectTransition,HVACRectPart,*,HVA
Duct Rectangular Transitions,Duct Rectangular Parts,Height2,No Mapping,,,
Duct Rectangular Transitions,Duct Rectangular Parts,Offset_Center,No Mapping,,,
Duct Rectangular Transitions,Duct Rectangular Parts,Offset_Center2,No Mapping,,,
Duct Rectangular Transitions,Duct Rectangular Parts,Offset_Edge,No Mapping,,,
Duct Rectangular Transitions,Duct Rectangular Parts,Offset_Edge2,No Mapping,,,
Duct Rectangular Transitions,Duct Rectangular Parts,Width2,No Mapping,,,
Duct Rectangular Valve,Duct Rectangular Fittings,*,No Mapping, ,*, 
Duct Rectangular-Round Transition,Duct Rectangular Transitions,*,HVACRectToRnd,HVACRectTransition,*,HVA
Duct Rectangular-Round Transition,Duct Rectangular Transitions,Diameter,No Mapping,,,
Duct Rectangular-Round Transition,Duct Rectangular Transitions,Diameter_Bead,No Mapping,,,
Duct Rectangular-Round Transition,Duct Rectangular Transitions,Length_Bead,No Mapping,,,
Duct Rectangular-Round Transition,Duct Rectangular Transitions,Length_Flange,No Mapping,,,
Duct Rectangular-Round Transition,Duct Rectangular Transitions,Length_Lap,No Mapping,,,
Duct Rectangular-Round Transition,Duct Rectangular Transitions,Lip_Flange,No Mapping,,,
Duct Rectangular-Round Transition,Duct Rectangular Transitions,Lip_Lap,No Mapping,,,
Duct Reducing Width Rectangular Elbow,Duct Rectangular Elbows,*,HVACRectReduceElbow,HVACRectElbow,*,HVA
Duct Reducing Width Rectangular Elbow,Duct Rectangular Elbows,Height2,HVACRectReduceElbow,HVACRectElbow,Height2,HVA
Duct Reducing Width Rectangular Elbow,Duct Rectangular Elbows,Width2,HVACRectReduceElbow,HVACRectElbow,Width2,HVA
Duct Reducing Width Rectangular Knee,Duct Rectangular Elbows,*,HVACRectReduceKnee,HVACRectElbow,*,HVA
Duct Reducing Width Rectangular Knee,Duct Rectangular Elbows,Heel_Radius,No Mapping,,,
Duct Reducing Width Rectangular Knee,Duct Rectangular Elbows,Height2,HVACRectReduceKnee,HVACRectElbow,Height2,HVA
Duct Reducing Width Rectangular Knee,Duct Rectangular Elbows,Width2,HVACRectReduceKnee,HVACRectElbow,Width2,HVA
Duct Reducing Width Rectangular Offset,Duct Rectangular Offsets,*,HVACRectReduceOffset,HVACRectOffset,*,HVA
Duct Reducing Width Rectangular Offset,Duct Rectangular Offsets,Height2,No Mapping,,,
Duct Reducing Width Rectangular Offset,Duct Rectangular Offsets,Width2,No Mapping,,,
Duct Round Access Cover on Rectangular,Duct Rectangular Access Covers,*,HVACRectAccessCvrRnd,HVACRectAccessCvr,*,HVA
Duct Round Access Cover on Rectangular,Duct Rectangular Access Covers,Diameter,No Mapping,,,
Duct Round Access Cover on Rectangular,Duct Rectangular Access Covers,Thickness_Matl,No Mapping,,,
Duct Round Access Cover on Round,Duct Round Access Covers,*,HVACRndAccessCvrRnd,HVACRndAccessCvr,*,HVA
Duct Round Access Cover on Round,Duct Round Access Covers,Thickness_Matl,No Mapping,,,
Duct Round Access Covers,Duct Round Parts,*,HVACRndAccessCvr,HVACRndPart,*,HVA
Duct Round Access Covers,Duct Round Parts,Diameter2,No Mapping,,,
Duct Round Angle L-Flange,Duct Round Flanges,*,HVACRndLFlange,HVACRndFlange,*,HVA
Duct Round Angled Tap on Rectangular,Duct Rectangular Branches,*,No Mapping,,,
Duct Round Angled Tap on Rectangular,Duct Rectangular Branches,Diameter2,No Mapping,,,
Duct Round Branches,Duct Round Parts,*,HVACRndBranch,HVACRndPart,*,HVA
Duct Round Branches,Duct Round Parts,Angle,HVACRndBranch,HVACRndPart,Angle,HVA
Duct Round Branches,Duct Round Parts,Diameter_Bead3,No Mapping,,,
Duct Round Branches,Duct Round Parts,Diameter_Bead4,No Mapping,,,
Duct Round Branches,Duct Round Parts,Diameter2,No Mapping,,,
Duct Round Branches,Duct Round Parts,Diameter3,No Mapping,,,
Duct Round Branches,Duct Round Parts,Diameter4,No Mapping,,,
Duct Round Branches,Duct Round Parts,Length_Bead3,No Mapping,,,
Duct Round Branches,Duct Round Parts,Length_Bead4,No Mapping,,,
Duct Round Branches,Duct Round Parts,Length_Ext3,No Mapping,,,
Duct Round Branches,Duct Round Parts,Length_Ext4,No Mapping,,,
Duct Round Branches,Duct Round Parts,Length_Flange3,No Mapping,,,
Duct Round Branches,Duct Round Parts,Length_Flange4,No Mapping,,,
Duct Round Branches,Duct Round Parts,Length_Lap3,No Mapping,,,
Duct Round Branches,Duct Round Parts,Length_Lap4,No Mapping,,,
Duct Round Branches,Duct Round Parts,Length3,No Mapping,,,
Duct Round Branches,Duct Round Parts,Length4,No Mapping,,,
Duct Round Branches,Duct Round Parts,Lip_Flange3,No Mapping,,,
Duct Round Branches,Duct Round Parts,Lip_Flange4,No Mapping,,,
Duct Round Branches,Duct Round Parts,Lip_Lap3,No Mapping,,,
Duct Round Branches,Duct Round Parts,Lip_Lap4,No Mapping,,,
Duct Round Collar,Duct Round Fittings,*,HVACRndCollar,HVACRndFitting,*,HVA
Duct Round Coupling,Duct Round Fittings,*,HVACRndCoupling,HVACRndFitting,*,HVA
Duct Round Cross,Duct Round Branches,*,HVACRndCross,HVACRndBranch,*,HVA
Duct Round Damper,Duct Round Fittings,*,HVACRndDamper,HVACRndValve,*,HVA
Duct Round Elbows,Duct Round Parts,*,HVACRndElbow,HVACRndPart,*,HVA
Duct Round Elbows,Duct Round Parts,Angle,HVACRndElbow,HVACRndPart,Angle,HVA
Duct Round Elbows,Duct Round Parts,Bend_Radius,No Mapping,,,
Duct Round Elbows,Duct Round Parts,Ratio_BendRad ,No Mapping,,,
Duct Round End Cap,Duct Round Fittings,*,HVACRndEndCap,HVACRndFitting,*,HVA
Duct Round End Cap,Duct Round Fittings,Thickness_Duct,No Mapping,,,
Duct Round Fitting,Duct Round Fittings,*,No Mapping, ,*, 
Duct Round Fittings,Duct Round Parts,*,HVACRndFitting,HVACRndPart,*,HVA
Duct Round Fittings,Duct Round Parts,Angle,No Mapping,,,
Duct Round Fittings,Duct Round Parts,Diameter2,No Mapping,,,
Duct Round Fittings,Duct Round Parts,Lip,No Mapping,,,
Duct Round Fittings,Duct Round Parts,Lip2,No Mapping,,,
Duct Round Fittings,Duct Round Parts,Thickness_Matl,No Mapping,,,
Duct Round Flanges,Duct Round Parts,*,HVACRndFlange,HVACRndPart,*,HVA
Duct Round Flanges,Duct Round Parts,Gap,No Mapping,,,
Duct Round Flanges,Duct Round Parts,Lip,No Mapping,,,
Duct Round Flanges,Duct Round Parts,Thickness_Duct,No Mapping,,,
Duct Round Flanges,Duct Round Parts,Thickness_Matl,No Mapping,,,
Duct Round Flexible Connection,Duct Round Fittings,*,HVACRndExpJoint,HVACRndFitting,*,HVA
Duct Round Gasket,Duct Round Gaskets,*,HVACRndGasket,HVACRndPart,*,HVA
Duct Round Gaskets,Duct Round Parts,*,No Mapping,,*,
Duct Round Lateral Reducing Tee,Duct Round Branches,*,HVACRndLtrlReduceTee,HVACRndBranch,*,HVA
Duct Round Lateral Tee,Duct Round Branches,*,HVACRndLtrlTee,HVACRndBranch,*,HVA
Duct Round Mitered Elbow,Duct Round Elbows,*,HVACRndMiteredElbow,HVACRndElbow,*,HVA
Duct Round Mitered Elbow,Duct Round Elbows,Num_Miter_Cuts,No Mapping,,,
Duct Round Offset,Duct Round Offsets,*,HVACRndNReducOffset,HVACRndOffset,*,HVA
Duct Round Offsets,Duct Round Parts,*,HVACRndOffset,HVACRndPart,*,HVA
Duct Round Offsets,Duct Round Parts,Angle,HVACRndOffset,HVACRndPart,Angle,HVA
Duct Round Offsets,Duct Round Parts,Angle2,No Mapping,,,
Duct Round Offsets,Duct Round Parts,Bend_Radius,No Mapping,,,
Duct Round Offsets,Duct Round Parts,Bend_Radius2,No Mapping,,,
Duct Round Offsets,Duct Round Parts,Heel_Radius2,No Mapping,,,
Duct Round Offsets,Duct Round Parts,Offset_Center,No Mapping,,,
Duct Round Offsets,Duct Round Parts,Offset_Center2,No Mapping,,,
Duct Round Offsets,Duct Round Parts,Offset_Edge,No Mapping,,,
Duct Round Offsets,Duct Round Parts,Offset_Edge2,No Mapping,,,
Duct Round Offsets,Duct Round Parts,Ratio_BendRad,No Mapping,,,
Duct Round Offsets,Duct Round Parts,Ratio_BendRad2,No Mapping,,,
Duct Round Offsets,Duct Round Parts,Ratio_ThroatRad,No Mapping,,,
Duct Round Offsets,Duct Round Parts,Ratio_ThroatRad2,No Mapping,,,
Duct Round Offsets,Duct Round Parts,Throat_Radius,No Mapping,,,
Duct Round Offsets,Duct Round Parts,Throat_Radius2,No Mapping,,,
Duct Round Ogee,Duct Round Offsets,*,HVACRndOgee,HVACRndOffset,*,HVA
Duct Round Orifice Plate,Duct Round Fittings,*,HVACRndOrificePlate,HVACRndInLineInstr,*,HVA
Duct Round Orifice Plate,Duct Round Fittings,Thickness_Duct,No Mapping,,,
Duct Round Outlet,Duct Round Fittings,*,HVACRndOutlet,HVACRndFitting,*,HVA
Duct Round Outlet,Duct Round Fittings,Height##1,No Mapping,,,
Duct Round Outlet,Duct Round Fittings,Height##2,No Mapping,,,
Duct Round Outlet,Duct Round Fittings,Height##3,No Mapping,,,
Duct Round Outlet,Duct Round Fittings,Height##4,No Mapping,,,
Duct Round Outlet,Duct Round Fittings,Width##1,No Mapping,,,
Duct Round Outlet,Duct Round Fittings,Width##2,No Mapping,,,
Duct Round Outlet,Duct Round Fittings,Width##3,No Mapping,,,
Duct Round Outlet,Duct Round Fittings,Width##4,No Mapping,,,
Duct Round Parts,Duct Parts,*,HVACRndPart,HVACPart,*,HVA
Duct Round Parts,Duct Parts,Diameter,HVACRndPart,HVACPart,Diameter,HVA
Duct Round Parts,Duct Parts,Diameter_Bead,No Mapping,,,
Duct Round Parts,Duct Parts,Diameter_Bead2,No Mapping,,,
Duct Round Parts,Duct Parts,Length_Bead,No Mapping,,,
Duct Round Parts,Duct Parts,Length_Bead2,No Mapping,,,
Duct Round Parts,Duct Parts,Length_Flange,No Mapping,,,
Duct Round Parts,Duct Parts,Length_Flange2,No Mapping,,,
Duct Round Parts,Duct Parts,Length_Lap,No Mapping,,,
Duct Round Parts,Duct Parts,Length_Lap2,No Mapping,,,
Duct Round Parts,Duct Parts,Lip_Flange,No Mapping,,,
Duct Round Parts,Duct Parts,Lip_Flange2,No Mapping,,,
Duct Round Parts,Duct Parts,Lip_Lap,No Mapping,,,
Duct Round Parts,Duct Parts,Lip_Lap2,No Mapping,,,
Duct Round Plate I-Flange,Duct Round Flanges,*,HVACRndIFlange,HVACRndFlange,*,HVA
Duct Round Reducing Tee,Duct Round Branches,*,HVACRndReduceTee,HVACRndBranch,*,HVA
Duct Round Short Reducer,Duct Round Transitions,*,HVACRndToRnd,HVACRndTransition,*,HVA
Duct Round Short Reducing Tee,Duct Round Branches,*,HVACRndReduceTee,HVACRndBranch,*,HVA
Duct Round Smooth Elbow,Duct Round Elbows,*,HVACRndSmoothElbow,HVACRndElbow,*,HVA
Duct Round Smooth Elbow,Duct Round Elbows,Ratio_ThroatRad,No Mapping,,,
Duct Round Smooth Elbow,Duct Round Elbows,Throat_Radius,No Mapping,,,
Duct Round Tap on Rectangular,Duct Rectangular Branches,*,HVACRectTapRnd,HVACRectBranch,*,HVA
Duct Round Tap on Rectangular,Duct Rectangular Branches,Diameter2,No Mapping,,,
Duct Round Tap on Round,Duct Round Branches,*,HVACRndTap,HVACRndBranch,*,HVA
Duct Round Tee,Duct Round Branches,*,HVACRndTee,HVACRndBranch,*,HVA
Duct Round Transition,Duct Round Transitions,*,HVACRndToRnd,HVACRndTransition,*,HVA
Duct Round Transitions,Duct Round Parts,*,HVACRndTransition,HVACRndPart,*,HVA
Duct Round Transitions,Duct Round Parts,Diameter2,No Mapping,,,
Duct Round Transitions,Duct Round Parts,Offset_Center,No Mapping,,,
Duct Round Transitions,Duct Round Parts,Offset_Center2,No Mapping,,,
Duct Round Transitions,Duct Round Parts,Offset_Edge,No Mapping,,,
Duct Round Transitions,Duct Round Parts,Offset_Edge2,No Mapping,,,
Duct Round Valve,Duct Round Fittings,*,No Mapping, ,*, 
Duct Round Wye,Duct Round Branches,*,HVACRndWye,HVACRndBranch,*,HVA
Duct Side Attachment Connector,Fluidic Connector,*,No Mapping,,*,
Duct Triangular Access Cover on Rectangular,Duct Rectangular Access Covers,*,No Mapping,,*,
Ductline,Logical Line,*,HVACLine,Logical_Line,*,HVA
Ductline,Logical Line,Duct Class,No Mapping,,,
Ductline,Logical Line,Duct Commodity,No Mapping,,,
Ductline,Logical Line,Duct Connection Type,No Mapping,,,
Ductline,Logical Line,Duct Fabrication Site,No Mapping,,,
Ductline,Logical Line,Duct Insulation Fabrication Site,No Mapping,,,
Ductline,Logical Line,Duct Insulation Material,HVACLine,Logical_Line,InsulationMaterial,HVA
Ductline,Logical Line,Duct Insulation Specification,HVACLine,Logical_Line,DuctInsulationSpecification,HVA
Ductline,Logical Line,Duct Insulation Standard,No Mapping,,,
Ductline,Logical Line,Duct Insulation Thickness,HVACLine,Logical_Line,InsulationThickness,HVA
Ductline,Logical Line,Duct Material,HVACLine,Logical_Line,MaterialCategory,HVA
Ductline,Logical Line,Duct Material Thickness,HVACLine,Logical_Line,MaterialThickness,HVA
Ductline,Logical Line,Duct Pressure Class Rating,HVACLine,Logical_Line,PressureClassRating,HVA
Ductline,Logical Line,Duct Pressure Class Rating,HVACLine,Logical_Line,PressureClassRating,HVA
Ductline,Logical Line,Duct Rigidity Class,No Mapping,,,
Ductline,Logical Line,Duct Specification,HVACLine,Logical_Line,DuctSpecification,HVA
Ductline,Logical Line,Duct Standard,HVACLine,Logical_Line,Standard,HVA
Ductline,Logical Line,Maximum Velocity,No Mapping,,,
Ductline,Logical Line,Minimum Velocity,No Mapping,,,
Ductline,Logical Line,Override Aspect Ratio (W:H) for Rectangular Duct,No Mapping,,,
Ductline,Logical Line,Pressure,HVACLine,Logical_Line,Pressure,HVA
Ductline,Logical Line,System Type,HVACLine,Logical_Line,SystemType,HVA
Ductline,Logical Line,Temperature,HVACLine,Logical_Line,Temperature,HVA
Ductline,Logical Line,Unit Number,No Mapping,,,
Ductline,Logical Line,Volume Flow Rate,HVACLine,Logical_Line,FlowRate,HVA
Ductwork Insulation,Insulation,*,No Mapping,,*,
DuctWork Penetration Request,Penetration Request,*,No Mapping,,*,
Ductwork Solid Graphic,Generic Graphic  Object,*,No Mapping,,*,
Dynamic Equipment Component,Equipment Component (Part),*,No Mapping,,*,
Eccentric Reducer,Fittings,*,PipingEcentricReducer,PipingFitting,*,PIP
Elbow 45 Reducing,Elbows,*,PipingReduceElbow,PipingElbow,*,PIP
Elbow 90 Reducing,Elbows,*,PipingReduceElbow,PipingElbow,*,PIP
Elbow Olet,Branches,*,PipingElbowOlet,PipingBranch,*,PIP
Elbows,Piping Part,*,PipingElbow,PipingPart,*,PIP
Elbows,Piping Part,Cut Elbow angle,PipingElbow,PipingPart,CutAngle,PIP
Electric Motor,Mechanical Equipment Component,*,No Mapping,EquipDriver,*,EQT
Electrical Branch Connection,Electrical Connection,*,No Mapping,,*,
Electrical Connection,Physical Connection,*,No Mapping,,*,
Electrical Connector,Physical Connector,*,No Mapping,,*,
Electrical Equipment,Static Equipment Component,*,No Mapping,,*,
Electrical Equipment Function,Equipment Function Part,*,No Mapping,,*,
Electrical Function Part,Process Function Part,*,No Mapping,,*,
Electrical Line,Logical Line,*,No Mapping,,*,
Elliptic Hole,Cutout,*,No Mapping,,*,
End Limit,Limit,*,No Mapping,,*,
Envelope Graphic,Generic Graphic  Object,*,No Mapping,,*,
Equipment Assembly,Physical Part,*,No Mapping,,*,
Equipment Component (Part),Physical Part,*,Equipment,Physical_Product,*,EQT
Equipment Component (Part),Physical Part,Element Description##1,No Mapping,,,
Equipment Component (Part),Physical Part,Element Description##2,No Mapping,,,
Equipment Component (Part),Physical Part,Element Description##3,No Mapping,,,
Equipment Component (Part),Physical Part,Element Description##4,No Mapping,,,
Equipment Component (Part),Physical Part,Equipment Elevation,No Mapping,,,
Equipment Component (Part),Physical Part,Equipment Location Textual Description,No Mapping,,,
Equipment Component (Part),Physical Part,Equipment Name,Equipment,Physical_Product,EquipmentName,EQT
Equipment Component (Part),Physical Part,Equipment Service Description,No Mapping,,,
Equipment Component (Part),Physical Part,Equipment Supplier,No Mapping,,,
Equipment Component (Part),Physical Part,Parameter Name,No Mapping,,,
Equipment Component (Part),Physical Part,Parameter Value,No Mapping,,,
Equipment Component (Part),Physical Part,Scalar Parameter Value,No Mapping,,,
Equipment Connector,Fluidic Connector,*,No Mapping,,*,
Equipment Connector,Fluidic Connector,*,No Mapping,,*,
Equipment Form Graphic,Form Graphic,*,No Mapping,,*,
Equipment Function Part,Process Function Part,*,EquipFunc,Component_Function,*,EQT
Equipment Function Part,Process Function Part,Heat Tracing,No Mapping,,,
Equipment Function Part,Process Function Part,Insulation Spec Name,No Mapping,,,
Equipment Function Part,Process Function Part,Insulation Thickness,No Mapping,,,
Equipment Function Part,Process Function Part,Unit Number,No Mapping,,,
Equipment Line,Logical Line,*,PipingLine,Logical_Line,*,PIP
Equipment Line,Logical Line,Commodity Type,PipingLine,Logical_Line,CommodityType,PIP
Equipment Line,Logical Line,Heat Tracing,PipingLine,Logical_Line,HeatTracing,PIP
Equipment Line,Logical Line,Insulation Spec Name,PipingLine,Logical_Line,InsulationSpecification,PIP
Equipment Line,Logical Line,Insulation Thickness,PipingLine,Logical_Line,InsulationThickness,PIP
Equipment Line,Logical Line,Nominal OD,PipingLine,Logical_Line,NominalSize,PIP
Equipment Line,Logical Line,Pipe Spec,PipingLine,Logical_Line,PipeSpecification,PIP
Equipment Line,Logical Line,Pressure,PipingLine,Logical_Line,OperatingPressure,PIP
Equipment Line,Logical Line,Temperature,PipingLine,Logical_Line,OperatingTemperature,PIP
Equipment Line,Logical Line,Unit Number,No Mapping,,,
Equipment Project Catalog Sheet,Sheet,*,No Mapping,,*,
Equipment Project Catalog Workset,Workset object,*,No Mapping,,*,
Error Analysis Reporting Handler,Analyse Element Handler,*,No Mapping,,*,
Exact Solid,Generic Graphic  Object,*,No Mapping,,*,
Exact Solid Graphic,Physical Graphic,*,No Mapping,,*,
Expander Function,Piping Function Part,*,PipingExpanderFunc_Sample,PipingPartFunc,*,PIP
