CATRouPartNumber	CATRouSize	CATRouOutsideHeight	CATRouOutsideWidth	CATRouAngle	CATRouTurnRadius	InsideWidth	LoadingDepth	TangentLength	RungSpacing	RungHeight	RungLength	RailFlangeWidth	RailFlangeThickness	RailWebThickness
B37AL-24-30HB24	B37x24"	7.14in	25.5in	30deg	24in	24in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-30-30HB24	B37x30"	7.14in	31.5in	30deg	24in	30in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-36-30HB24	B37x36"	7.14in	37.5in	30deg	24in	36in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-42-30HB24	B37x42"	7.14in	43.5in	30deg	24in	42in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-06-45HB12	B37x6"	7.14in	7.5in	45deg	12in	6in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-09-45HB12	B37x9"	7.14in	10.5in	45deg	12in	9in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-12-45HB12	B37x12"	7.14in	13.5in	45deg	12in	12in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-18-45HB12	B37x18"	7.14in	19.5in	45deg	12in	18in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-24-45HB12	B37x24"	7.14in	25.5in	45deg	12in	24in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-30-45HB12	B37x30"	7.14in	31.5in	45deg	12in	30in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-36-45HB12	B37x36"	7.14in	37.5in	45deg	12in	36in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-42-45HB12	B37x42"	7.14in	43.5in	45deg	12in	42in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-06-45HB24	B37x6"	7.14in	7.5in	45deg	24in	6in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-09-45HB24	B37x9"	7.14in	10.5in	45deg	24in	9in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-12-45HB24	B37x12"	7.14in	13.5in	45deg	24in	12in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-18-45HB24	B37x18"	7.14in	19.5in	45deg	24in	18in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-24-45HB24	B37x24"	7.14in	25.5in	45deg	24in	24in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-30-45HB24	B37x30"	7.14in	31.5in	45deg	24in	30in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-36-45HB24	B37x36"	7.14in	37.5in	45deg	24in	36in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-42-45HB24	B37x42"	7.14in	43.5in	45deg	24in	42in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-06-60HB12	B37x6"	7.14in	7.5in	60deg	12in	6in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-09-60HB12	B37x9"	7.14in	10.5in	60deg	12in	9in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-12-60HB12	B37x12"	7.14in	13.5in	60deg	12in	12in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-18-60HB12	B37x18"	7.14in	19.5in	60deg	12in	18in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-24-60HB12	B37x24"	7.14in	25.5in	60deg	12in	24in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-30-60HB12	B37x30"	7.14in	31.5in	60deg	12in	30in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-36-60HB12	B37x36"	7.14in	37.5in	60deg	12in	36in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-42-60HB12	B37x42"	7.14in	43.5in	60deg	12in	42in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-06-60HB24	B37x6"	7.14in	7.5in	60deg	24in	6in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-09-60HB24	B37x9"	7.14in	10.5in	60deg	24in	9in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-12-60HB24	B37x12"	7.14in	13.5in	60deg	24in	12in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-18-60HB24	B37x18"	7.14in	19.5in	60deg	24in	18in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-24-60HB24	B37x24"	7.14in	25.5in	60deg	24in	24in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-30-60HB24	B37x30"	7.14in	31.5in	60deg	24in	30in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-36-60HB24	B37x36"	7.14in	37.5in	60deg	24in	36in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-42-60HB24	B37x42"	7.14in	43.5in	60deg	24in	42in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-06-90HB12	B37x6"	7.14in	7.5in	90deg	12in	6in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-09-90HB12	B37x9"	7.14in	10.5in	90deg	12in	9in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-12-90HB12	B37x12"	7.14in	13.5in	90deg	12in	12in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-18-90HB12	B37x18"	7.14in	19.5in	90deg	12in	18in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-24-90HB12	B37x24"	7.14in	25.5in	90deg	12in	24in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-30-90HB12	B37x30"	7.14in	31.5in	90deg	12in	30in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-36-90HB12	B37x36"	7.14in	37.5in	90deg	12in	36in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-42-90HB12	B37x42"	7.14in	43.5in	90deg	12in	42in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-06-90HB24	B37x6"	7.14in	7.5in	90deg	24in	6in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-09-90HB24	B37x9"	7.14in	10.5in	90deg	24in	9in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-12-90HB24	B37x12"	7.14in	13.5in	90deg	24in	12in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-18-90HB24	B37x18"	7.14in	19.5in	90deg	24in	18in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-24-90HB24	B37x24"	7.14in	25.5in	90deg	24in	24in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-30-90HB24	B37x30"	7.14in	31.5in	90deg	24in	30in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-36-90HB24	B37x36"	7.14in	37.5in	90deg	24in	36in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
B37AL-42-90HB24	B37x42"	7.14in	43.5in	90deg	24in	42in	6.05in	3in	9in	1in	1in	2in	.09in	.075in
